Entity,Code,Year,GDPperCapita,145446-annotations
Afghanistan,AFG,2018,1934.56,
Albania,ALB,2018,11104.17,
Algeria,DZA,2018,14228.03,
Angola,AGO,2018,7771.44,
Argentina,ARG,2018,18556.38,
Armenia,ARM,2018,11454.43,
Australia,AUS,2018,49830.8,
Austria,AUT,2018,42988.07,
Azerbaijan,AZE,2018,16628.06,
Bahrain,BHR,2018,39498.77,
Bangladesh,BGD,2018,4099.25,
Barbados,BRB,2018,11995.19,
Belarus,BLR,2018,18727.32,
Belgium,BEL,2018,39756.2,
Benin,BEN,2018,2220.18,
Bolivia,BOL,2018,6695.77,
Bosnia and Herzegovina,BIH,2018,10460.52,
Botswana,BWA,2018,15842.13,
Brazil,BRA,2018,14033.57,
Bulgaria,BGR,2018,18444.26,
Burkina Faso,BFA,2018,1589.62,
Burundi,BDI,2018,651.36,
Cambodia,KHM,2018,3628.56,
Cameroon,CMR,2018,2888.05,
Canada,CAN,2018,44868.74,
Cape Verde,CPV,2018,6831.22,
Central African Republic,CAF,2018,623.49,
Chad,TCD,2018,2046.36,
Chile,CHL,2018,22104.77,
China,CHN,2018,13101.71,
Colombia,COL,2018,13545.05,
Comoros,COM,2018,1724.42,
Congo,COG,2018,5714.59,
Costa Rica,CRI,2018,14686.25,
Cote d'Ivoire,CIV,2018,3713.64,
Croatia,HRV,2018,22012.31,
Cuba,CUB,2018,8325.63,
Cyprus,CYP,2018,27184.42,
Czechia,CZE,2018,30748.51,
Czechoslovakia,OWID_CZS,2018,29600.6,
Democratic Republic of Congo,COD,2018,859.38,
Denmark,DNK,2018,46312.34,
Djibouti,DJI,2018,3295.68,
Dominica,DMA,2018,9021.17,
Dominican Republic,DOM,2018,15912.4,
East Asia,,2018,16326.95,
Eastern Europe,,2018,20680.59,
Ecuador,ECU,2018,10638.83,
Egypt,EGY,2018,11957.21,
El Salvador,SLV,2018,8598.2,
Equatorial Guinea,GNQ,2018,28528.95,
Estonia,EST,2018,27408.66,
Eswatini,SWZ,2018,8068.21,
Ethiopia,ETH,2018,1838.49,
Finland,FIN,2018,38896.7,
Former USSR,,2018,19539.15,
Former Yugoslavia,,2018,16558.31,
France,FRA,2018,38515.92,
Gabon,GAB,2018,17613.56,
Gambia,GMB,2018,1882.24,
Georgia,GEO,2018,11984.9,
Germany,DEU,2018,46177.62,
Ghana,GHA,2018,4267.07,
Greece,GRC,2018,23450.77,
Guatemala,GTM,2018,7402.11,
Guinea,GIN,2018,1606.47,
Guinea-Bissau,GNB,2018,1501.41,
Haiti,HTI,2018,1729.04,
Honduras,HND,2018,5041.64,
Hong Kong,HKG,2018,50839.37,
Hungary,HUN,2018,25622.81,
Iceland,ISL,2018,43438.54,
India,IND,2018,6806.5,
Indonesia,IDN,2018,11851.74,
Iran,IRN,2018,17011.3,
Iraq,IRQ,2018,12835.81,
Ireland,IRL,2018,64684.3,
Israel,ISR,2018,32954.77,
Italy,ITA,2018,34364.17,
Jamaica,JAM,2018,7272.98,
Japan,JPN,2018,38673.81,
Jordan,JOR,2018,11506.34,
Kazakhstan,KAZ,2018,25307.56,
Kenya,KEN,2018,3377.47,
Kuwait,KWT,2018,65520.74,
Kyrgyzstan,KGZ,2018,5176.99,
Laos,LAO,2018,6450.91,
Latin America,,2018,14076.04,
Latvia,LVA,2018,24312.68,
Lebanon,LBN,2018,12558.97,
Lesotho,LSO,2018,2731.47,
Liberia,LBR,2018,818.42,
Libya,LBY,2018,15013.31,
Lithuania,LTU,2018,27370.55,
Luxembourg,LUX,2018,57427.5,
Madagascar,MDG,2018,1427.6,
Malawi,MWI,2018,1116.64,
Malaysia,MYS,2018,24842.36,
Mali,MLI,2018,1667.3,
Malta,MLT,2018,32028.91,
Mauritania,MRT,2018,3457.52,
Mauritius,MUS,2018,20138.57,
Mexico,MEX,2018,16494.08,
Middle East,,2018,18429.74,
Moldova,MDA,2018,6746.73,
Mongolia,MNG,2018,13382.54,
Montenegro,MNE,2018,19504.16,
Morocco,MAR,2018,8451.14,
Mozambique,MOZ,2018,1132.77,
Myanmar,MMR,2018,5838.22,
Namibia,NAM,2018,9043.12,
Nepal,NPL,2018,2727.42,
Netherlands,NLD,2018,47474.11,
New Zealand,NZL,2018,35336.14,
Nicaragua,NIC,2018,4952.48,
Niger,NER,2018,964.66,
Nigeria,NGA,2018,5237.66,
North Korea,PRK,2018,1596.35,
North Macedonia,MKD,2018,13074.23,
Norway,NOR,2018,84580.14,
Oman,OMN,2018,36477.64,
Pakistan,PAK,2018,5510.4,
Palestine,PSE,2018,5207.76,
Panama,PAN,2018,22637.15,
Paraguay,PRY,2018,9338.95,
Peru,PER,2018,12310.08,
Philippines,PHL,2018,8139.14,
Poland,POL,2018,27455.24,
Portugal,PRT,2018,27035.6,
Puerto Rico,PRI,2018,35076.29,
Qatar,QAT,2018,153764.16,
Romania,ROU,2018,20126.29,
Russia,RUS,2018,24668.91,
Rwanda,RWA,2018,1929.29,
Saint Lucia,LCA,2018,10475.37,
Sao Tome and Principe,STP,2018,3730.2,
Saudi Arabia,SAU,2018,50304.75,
Senegal,SEN,2018,2617.12,
Serbia,SRB,2018,14124.12,
Seychelles,SYC,2018,29531.06,
Sierra Leone,SLE,2018,1683.85,
Singapore,SGP,2018,68402.35,
Slovakia,SVK,2018,27075.53,
Slovenia,SVN,2018,29244.92,
South Africa,ZAF,2018,12165.79,
South Korea,KOR,2018,37927.61,
South and South-East Asia,,2018,7648.66,
Spain,ESP,2018,31496.52,
Sri Lanka,LKA,2018,11662.91,
Sub-Sahara Africa,,2018,3532.37,
Sudan,SDN,2018,3379.6,
Sweden,SWE,2018,45541.89,
Switzerland,CHE,2018,61372.73,
Syria,SYR,2018,3349.46,
Taiwan,TWN,2018,44663.86,
Tajikistan,TJK,2018,4440.38,
Tanzania,TZA,2018,2874.96,
Thailand,THA,2018,16648.62,
Togo,TGO,2018,1451.36,
Trinidad and Tobago,TTO,2018,28549.41,
Tunisia,TUN,2018,11353.89,
Turkey,TUR,2018,19270.22,
Turkmenistan,TKM,2018,26318.37,
Uganda,UGA,2018,2045.42,
Ukraine,UKR,2018,9813.36,
United Arab Emirates,ARE,2018,76397.82,
United Kingdom,GBR,2018,38058.09,
United States,USA,2018,55334.74,
Uruguay,URY,2018,20185.84,
Uzbekistan,UZB,2018,11220.37,
Venezuela,VEN,2018,10709.95,
Vietnam,VNM,2018,6814.14,
Western Europe,,2018,39789.9,
Western Offshoots,,2018,53756.5,"United States, Canada, Australia and New Zealand"
World,OWID_WRL,2018,15212.42,
Yemen,YEM,2018,2284.89,
Zambia,ZMB,2018,3534.03,
Zimbabwe,ZWE,2018,1611.41,
