Entity,Code,Year,lifeExpec
Afghanistan,AFG,2018,64.486
Africa,,2018,62.839
Albania,ALB,2018,78.458
Algeria,DZA,2018,76.693
American Samoa,ASM,2018,73.679
Americas,,2018,76.72842701
Andorra,AND,2018,83.594
Angola,AGO,2018,60.782
Anguilla,AIA,2018,81.714
Antigua and Barbuda,ATG,2018,76.885
Argentina,ARG,2018,76.52
Armenia,ARM,2018,74.945
Aruba,ABW,2018,76.152
Asia,,2018,73.381
Australia,AUS,2018,83.281
Austria,AUT,2018,81.434
Azerbaijan,AZE,2018,72.864
Bahamas,BHS,2018,73.752
Bahrain,BHR,2018,77.163
Bangladesh,BGD,2018,72.32
Barbados,BRB,2018,79.081
Belarus,BLR,2018,74.59
Belgium,BEL,2018,81.468
Belize,BLZ,2018,74.496
Benin,BEN,2018,61.47
Bermuda,BMU,2018,82.459
Bhutan,BTN,2018,71.46
Bolivia,BOL,2018,71.239
Bonaire Sint Eustatius and Saba,BES,2018,77.608
Bosnia and Herzegovina,BIH,2018,77.262
Botswana,BWA,2018,69.275
Brazil,BRA,2018,75.672
British Virgin Islands,VGB,2018,78.907
Brunei,BRN,2018,75.722
Bulgaria,BGR,2018,74.928
Burkina Faso,BFA,2018,61.174
Burundi,BDI,2018,61.247
Cambodia,KHM,2018,69.57
Cameroon,CMR,2018,58.921
Canada,CAN,2018,82.315
Cape Verde,CPV,2018,72.782
Cayman Islands,CYM,2018,83.781
Central African Republic,CAF,2018,52.805
Chad,TCD,2018,53.977
Channel Islands,OWID_CIS,2018,82.928
Chile,CHL,2018,80.042
China,CHN,2018,76.704
Colombia,COL,2018,77.109
Comoros,COM,2018,64.118
Congo,COG,2018,64.29
Cook Islands,COK,2018,76.05
Costa Rica,CRI,2018,80.095
Cote d'Ivoire,CIV,2018,57.422
Croatia,HRV,2018,78.342
Cuba,CUB,2018,78.726
Curacao,CUW,2018,78.733
Cyprus,CYP,2018,80.828
Czechia,CZE,2018,79.222
Democratic Republic of Congo,COD,2018,60.368
Denmark,DNK,2018,80.784
Djibouti,DJI,2018,66.582
Dominica,DMA,2018,74.806
Dominican Republic,DOM,2018,73.892
Ecuador,ECU,2018,76.8
Egypt,EGY,2018,71.825
El Salvador,SLV,2018,73.096
Equatorial Guinea,GNQ,2018,58.402
Eritrea,ERI,2018,65.941
Estonia,EST,2018,78.567
Eswatini,SWZ,2018,59.401
Ethiopia,ETH,2018,66.24
Europe,,2018,78.425
Faeroe Islands,FRO,2018,80.52
Falkland Islands,FLK,2018,81.304
Fiji,FJI,2018,67.341
Finland,FIN,2018,81.736
France,FRA,2018,82.541
French Guiana,GUF,2018,79.832
French Polynesia,PYF,2018,77.462
Gabon,GAB,2018,66.187
Gambia,GMB,2018,61.735
Georgia,GEO,2018,73.6
Germany,DEU,2018,81.18
Ghana,GHA,2018,63.78
Gibraltar,GIB,2018,79.778
Greece,GRC,2018,82.072
Greenland,GRL,2018,71.632
Grenada,GRD,2018,72.384
Guadeloupe,GLP,2018,81.931
Guam,GUM,2018,79.859
Guatemala,GTM,2018,74.063
Guinea,GIN,2018,61.185
Guinea-Bissau,GNB,2018,58.003
Guyana,GUY,2018,69.774
Haiti,HTI,2018,63.66
Honduras,HND,2018,75.088
Hong Kong,HKG,2018,84.687
Hungary,HUN,2018,76.701
Iceland,ISL,2018,82.855
India,IND,2018,69.416
Indonesia,IDN,2018,71.509
Iran,IRN,2018,76.479
Iraq,IRQ,2018,70.454
Ireland,IRL,2018,82.103
Isle of Man,IMN,2018,81.255
Israel,ISR,2018,82.819
Italy,ITA,2018,83.352
Jamaica,JAM,2018,74.368
Japan,JPN,2018,84.47
Jordan,JOR,2018,74.405
Kazakhstan,KAZ,2018,73.236
Kenya,KEN,2018,66.342
Kiribati,KIR,2018,68.116
Kuwait,KWT,2018,75.398
Kyrgyzstan,KGZ,2018,71.321
Laos,LAO,2018,67.61
Latin America and the Caribbean,,2018,75.327
Latvia,LVA,2018,75.172
